A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,Attack
49,30,2488,3188,194,0,50.7755102,65.99850545,440,0,106.2666667,130.7039121,88025.93012,1225.167103,826.6794872,4832.878445,41353,1,64481,1343.354167,7016.69441,47940,1,64127,2211.275862,7858.151272,41511,1,0,0,0,0,1592,976,759.913773,465.2533304,0,440,70.95,98.52685813,9707.541772,0,0,0,1,0,0,0,0,0,71.84810127,50.7755102,106.2666667,1592,0,0,0,0,0,0,49,2488,30,3188,65535,269,22,32,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,155.7511097,12841,0,12841,12841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,77.87555486,77.87555486,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,65535,269,0,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,347169.8113,15094.33962,88.33333333,111.880889,215,3,47,47,0,47,47,3,3,0,3,3,0,0,0,0,64,64,7547.169811,7547.169811,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,609271.5232,26490.06623,50.33333333,84.58329228,148,1,1,1,0,1,1,2,2,0,2,2,0,0,0,0,64,64,13245.03311,13245.03311,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,534883.7209,23255.81395,57.33333333,60.92892034,122,1,49,49,0,49,49,1,1,0,1,1,0,0,0,0,64,64,11627.90698,11627.90698,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,481675.3927,20942.40838,63.66666667,70.81195756,141,2,2,2,0,2,2,48,48,0,48,48,0,0,0,0,64,64,10471.20419,10471.20419,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
13,0,650,0,50,50,50,0,0,0,0,0,28300000,565217.3913,1.916666667,1.676486224,7,1,23,1.916666667,1.676486224,7,1,0,0,0,0,0,0,0,0,0,416,0,565217.3913,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,53.84615385,50,0,416,0,0,0,0,0,0,13,650,0,0,-1,-1,12,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,448780.4878,19512.19512,68.33333333,75.87050371,152,4,49,49,0,49,49,4,4,0,4,4,0,0,0,0,64,64,9756.097561,9756.097561,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,0,124,0,62,62,62,0,0,0,0,0,31000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,64,0,500000,0,62,62,62,0,0,0,0,0,0,0,0,0,0,0,93,62,0,64,0,0,0,0,0,0,2,124,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,455445.5446,19801.9802,67.33333333,34.38507428,107,46,49,49,0,49,49,46,46,0,46,46,0,0,0,0,64,64,9900.990099,9900.990099,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
