,Brands,Models,Prices,ROM,RAM,Size,Processor,Operating System,Warranty,Ratings
0,Lenovo,Lenovo Legion 5 ,"₹1,33,999",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1 Year Warranty,4.2
1,Avita,Avita SATUS ULTIMUS S111 ,"₹21,490",128 GB SSD,4 GB DDR4,(14.1 Inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.1
2,HP,HP ,"₹36,990",256 GB SSD,8 GB DDR4,(14 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.3
3,Lenovo,Lenovo IdeaPad 3 ,"₹39,490",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Year Onsite�Warranty,4.3
4,Lenovo,Lenovo IdeaPad 3 ,"₹47,241",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,2 Year Onsite�Warranty,4.2
5,ASUS,ASUS ,"₹29,990",256 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 3 Dual Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.3
6,Lenovo,Lenovo IdeaPad 3 ,"₹36,990",256 GB SSD,8 GB DDR4,(14 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Year Onsite�Warranty,4.3
7,Lenovo,Lenovo IdeaPad 3 ,"₹33,490",256 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (10th Gen),Windows 11 ,2 Years Warranty,4.3
8,HP,HP ,"₹40,990",512 GB SSD,8 GB DDR4,(14 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.3
9,HP,HP ,"₹33,990",256 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.3
10,HP,HP ,"₹40,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
11,Lenovo,Lenovo IdeaPad ,"₹37,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Year Onsite�Warranty,4.3
12,ASUS,ASUS VivoBook 15 (2022) ,"₹33,990",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.5
13,HP,HP Pavilion ,"₹54,990",512 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.6
14,DELL,DELL ,"₹40,990",1 TB HDD,8 GB DDR4,(15.6 inch),AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.6
15,Lenovo,Lenovo IdeaPad ,"₹45,990",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year Warranty,4.1
16,Lenovo,Lenovo IdeaPad 3 ,"₹27,999",256 GB SSD,4 GB DDR4,(14 inch),Intel Celeron Dual Core Processor (4th Gen),64 bit Windows 10 ,1 Year Warranty,4.3
17,ASUS,ASUS VivoBook Ultra 14 (2022) ,"₹53,990",512 GB SSD,16 GB DDR4,(14 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.3
18,Lenovo,Lenovo IdeaPad 3 ,"₹46,049",512 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,2 Years Warranty,3.8
